goal,title,short,colorInfo/hex,colorInfo/rgb/0,colorInfo/rgb/1,colorInfo/rgb/2
1,Armut in allen ihren Formen und überall beenden,Keine Armut,#e5243b,229,36,59
2,"Den Hunger beenden, Ernährungssicherheit und eine bessere Ernährung erreichen und eine nachhaltige Landwirtschaft fördern",Kein Hunger,#e5b735,229,183,53
3, Ein gesundes Leben für alle Menschen jeden Alters gewährleisten und ihr Wohlergehen fördern,Gesundheit und Wohlergehen,#4c9f38,76,159,56
4,"Inklusive, gleichberechtigte und hochwertige Bildung gewährleisten und Möglichkeiten lebenslangen Lernens für alle fördern",Hochwertige Bildung,#c5192d,197,25,45
5,Geschlechtergleichstellung erreichen und alle Frauen und Mädchen zur Selbstbestimmung befähigen,Geschlechtergleichstellung,#ff3a21,255,58,33
6,Verfügbarkeit und nachhaltige Bewirtschaftung von Wasser und Sanitärversorgung für alle gewährleisten,Sauberes Wasser und Sanitärversorgung,#26bde2,38,189,226
7,"Zugang zu bezahlbarer, verlässlicher, nachhaltiger und moderner Energie für alle sichern",Bezahlbare und saubere Energie,#fcc30b,252,195,11
8,"Dauerhaftes, breitenwirksames und nachhaltiges Wirtschaftswachstum, produktive Vollbeschäftigung und menschenwürdige Arbeit für alle fördern",Menschenwürdige Arbeit und Wirtschaftswachstum,#a21942,162,25,66
9,"Eine widerstandsfähige Infrastruktur aufbauen, breitenwirksame und nachhaltige Industrialisierung fördern und Innovationen unterstützen","Industrie, Innovationen und Infrastruktur",#fd6925,253,105,37
10,Ungleichheit in und zwischen Ländern verringern,Weniger Ungleichheiten,#dd1367,221,19,103
11,"Städte und Siedlungen inklusiv, sicher, widerstandsfähig und nachhaltig gestalten",Nachhaltige Städte und Gemeinden,#fd9d24,253,157,36
12,Nachhaltige Konsum- und Produktionsmuster sicherstellen,Verantwortungsvolle Konsum- und Produktionsmuster,#c9992d,201,153,45
13,"Umgehend Maßnahmen zur Bekämpfung des Klimawandels und seiner Auswirkungen ergreifen",Maßnahmen zum Klimaschutz,#3f7e44,63,126,68
14,"Ozeane, Meere und Meeresressourcen im Sinne nachhaltiger Entwicklung erhalten und nachhaltig nutzen",Leben unter Wasser,#0a97d9,10,151,217
15,"Landökosysteme schützen, wiederherstellen und ihre nachhaltige Nutzung fördern, Wälder nachhaltig bewirtschaften, Wüstenbildung bekämpfen, Bodendegradation beenden und umkehren und dem Verlust der biologischen Vielfalt ein Ende setzen",Leben an Land,#56c02b,86,192,43
16,"Friedliche und inklusive Gesellschaften für eine nachhaltige Entwicklung fördern, allen Menschen Zugang zur Justiz ermöglichen und leistungsfähige, rechenschaftspflichtige und inklusive Institutionen auf allen Ebenen aufbauen","Frieden, Gerechtigkeit und starke Institutionen",#00689d,0,104,157
17,Umsetzungsmittel stärken und die Globale Partnerschaft für nachhaltige Entwicklung mit neuem Leben erfüllen,Partnerschaften zur Erreichung der Ziele ,#19486a,25,72,106
