goal,target,indicator,indicator_description,us_fedstats_available,data_source,agency,url,unsd_proposed_tier,,possible_custodian
1,"Ziel    1.1       Bis 2030 die extreme Armut - gegenwaertig definiert als der Anteil der Menschen, die mit weniger als 1,25 Dollar pro Tag auskommen muessen - fuer alle Menschen ueberall auf der Welt beseitigen""",1.1.1,"1.1.1  Anteil der Bevoelkerung, die unter der internationalen Armutsgrenze lebt, nach Geschlecht, Alter, Erwerbsstatus und geographischer Lage (urban/rural)",,,,,,,
1,"Ziel    1.2       Bis 2030 den Anteil der Maenner, Frauen und Kinder jeden Alters, die in Armut in all ihren Dimensionen nach der jeweiligen nationalen Definition leben, mindestens um die Haelfte senken",1.2.1,"1.2.1  Anteil der Bevoelkerung, die unter der nationalen Armutsgrenze lebt, nach Geschlecht und Alter",,,,,,,
1,"Ziel    1.2       Bis 2030 den Anteil der Maenner, Frauen und Kinder jeden Alters, die in Armut in all ihren Dimensionen nach der jeweiligen nationalen Definition leben, mindestens um die Haelfte senken",1.2.2,"1.2.2  Anteil der Maenner, Frauen und Kinder aller Altersstufen, die in Armut in all ihren Dimensionen gemaess den nationalen Definitionen leben",,,,,,,
1,"Ziel    1.3       Den nationalen Gegebenheiten entsprechende Sozialschutzsysteme und -massnahmen fuer alle umsetzen, einschliesslich eines Basisschutzes, und bis 2030 eine breite Versorgung der Armen und Schwachen erreichen",1.3.1,"1.3.1  Anteil der Bevoelkerung, die von einem Sozialschutzsystem erfasst ist, nach Geschlecht, Kindern, Arbeitslosen, aelteren Personen, Personen mit Behinderungen, schwangeren Frauen, Neugeborenen, Opfern von Arbeitsunfaellen und den Armen und Schwachenÿ",,,,,,,
1,"Ziel    1.4       Bis 2030 sicherstellen, dass alle Maenner und Frauen, insbesondere die Armen und Schwachen, die gleichen Rechte auf wirtschaftliche Ressourcen sowie Zugang zu grundlegenden Diensten, Grundeigentum und Verfuegungsgewalt ueber Grund und Boden und sonstigen Vermoegensformen, Erbschaften, natuerlichen Ressourcen, geeigneten neuen Technologien und Finanzdienstleistungen einschliesslich Mikrofinanzierung haben",1.4.1,"1.4.1  Anteil der Bevoelkerung, die in Haushalten mit Zugang zu Grundversorgungsleistungen lebt",,,,,,,
1,"Ziel    1.4       Bis 2030 sicherstellen, dass alle Maenner und Frauen, insbesondere die Armen und Schwachen, die gleichen Rechte auf wirtschaftliche Ressourcen sowie Zugang zu grundlegenden Diensten, Grundeigentum und Verfuegungsgewalt ueber Grund und Boden und sonstigen Vermoegensformen, Erbschaften, natuerlichen Ressourcen, geeigneten neuen Technologien und Finanzdienstleistungen einschliesslich Mikrofinanzierung haben",1.4.2,"1.4.2  Anteil der erwachsenen Bevoelkerung insgesamt mit sicheren Rechten/ Verfuegungsgewalt ueber Grundeigentum, (a) mit gesetzlich anerkannten Dokumenten und (b) die ihre Landrechte als sicher ansehen, nach Geschlecht und des Eigentumsverhaeltnisses",,,,,,,
1,"Ziel    1.5       Bis 2030 die Widerstandsfaehigkeit der Armen und der Menschen in prekaeren Situationen erhoehen und ihre Exposition und Anfaelligkeit gegenueber klimabedingten Extremereignissen und anderen wirtschaftlichen, sozialen und oekologischen Schocks und Katastrophen verringern",1.5.1,"1.5.1  Anzahl der Todesfaelle, vermissten Personen und direkt von Katastrophen betroffenen Personen pro 100.000 Einwohner",,,,,,,
1,"Ziel    1.5       Bis 2030 die Widerstandsfaehigkeit der Armen und der Menschen in prekaeren Situationen erhoehen und ihre Exposition und Anfaelligkeit gegenueber klimabedingten Extremereignissen und anderen wirtschaftlichen, sozialen und oekologischen Schocks und Katastrophen verringern",1.5.2,1.5.2  Unmittelbarer wirtschaftlicher Schaden durch Katastrophen im Verhaeltnis zum globalen Bruttoinlandsprodukt (BIP),,,,,,,
1,"Ziel    1.5       Bis 2030 die Widerstandsfaehigkeit der Armen und der Menschen in prekaeren Situationen erhoehen und ihre Exposition und Anfaelligkeit gegenueber klimabedingten Extremereignissen und anderen wirtschaftlichen, sozialen und oekologischen Schocks und Katastrophen verringern",1.5.3,"1.5.3  Anzahl der Staaten, die nationale Strategien zum Katastrophenschutz in Einklang mit dem Sendai-Rahmenwerk zur Katastrophenvorsorge 2015-2030 verabschiedet und implementiert haben",,,,,,,
1,"Ziel    1.5       Bis 2030 die Widerstandsfaehigkeit der Armen und der Menschen in prekaeren Situationen erhoehen und ihre Exposition und Anfaelligkeit gegenueber klimabedingten Extremereignissen und anderen wirtschaftlichen, sozialen und oekologischen Schocks und Katastrophen verringern",1.5.4,"1.5.4  Anteil der lokalen Regierungen, die lokale Strategien zum Katastrophenschutz in Einklang mit den nationalen Strategien zum Katastrophenschutz verabschiedet und implementiert haben",,,,,,,
